region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
43,CA- FRESNO,115.17,1065,1023,1136,107.42,127.0,1065 [1023 - 1136],115.17% [107.42% - 127.0%],803,626,1073,01-19-2021
56,CA- LOS ANGELES,98.91,6518,6228,6829,93.58,104.67,6518 [6228 - 6829],98.91% [93.58% - 104.67%],4691,3368,6119,01-19-2021
58,CA- MODESTO,96.52,396,383,411,93.03,100.3,396 [383 - 411],96.52% [93.03% - 100.3%],284,224,349,01-19-2021
62,CA- NAPA,90.14,83,80,87,88.25,92.2,83 [80 - 87],90.14% [88.25% - 92.2%],59,48,71,01-19-2021
65,CA- ALAMEDA CO.,92.87,591,566,617,89.8,96.16,591 [566 - 617],92.87% [89.8% - 96.16%],435,331,546,01-19-2021
69,CA- PALM SPR/RANCHO MIR.,91.59,147,142,152,90.35,92.82,147 [142 - 152],91.59% [90.35% - 92.82%],122,109,135,01-19-2021
73,CA- REDDING,84.44,66,63,68,83.6,85.08,66 [63 - 68],84.44% [83.6% - 85.08%],48,39,55,01-19-2021
77,CA- SACRAMENTO,91.45,763,738,794,89.09,94.26,763 [738 - 794],91.45% [89.09% - 94.26%],548,435,682,01-19-2021
78,CA- SALINAS,106.23,282,272,294,100.68,112.79,282 [272 - 294],106.23% [100.68% - 112.79%],208,164,260,01-19-2021
79,CA- SAN BERNARDINO,102.07,1585,1538,1633,99.8,104.46,1585 [1538 - 1633],102.07% [99.8% - 104.46%],1276,1145,1414,01-19-2021
80,CA- SAN DIEGO,98.53,1804,1739,1872,94.29,102.84,1804 [1739 - 1872],98.53% [94.29% - 102.84%],1303,1005,1606,01-19-2021
81,CA- SAN FRANCISCO,85.01,349,337,363,83.94,86.17,349 [337 - 363],85.01% [83.94% - 86.17%],254,200,313,01-19-2021
82,CA- SAN JOSE,91.53,455,440,471,90.31,92.82,455 [440 - 471],91.53% [90.31% - 92.82%],349,312,388,01-19-2021
83,CA- SAN LUIS OBISPO,100.61,130,125,136,95.57,105.66,130 [125 - 136],100.61% [95.57% - 105.66%],94,71,117,01-19-2021
85,CA- SAN MATEO CO.,85.93,216,209,223,85.3,86.57,216 [209 - 223],85.93% [85.3% - 86.57%],160,143,177,01-19-2021
86,CA- SANTA BARBARA,109.09,381,367,396,103.19,115.92,381 [367 - 396],109.09% [103.19% - 115.92%],281,224,347,01-19-2021
87,CA- SANTA CRUZ,96.99,84,81,87,93.93,99.5,84 [81 - 87],96.99% [93.93% - 99.5%],61,50,70,01-19-2021
89,CA- SANTA ROSA,86.82,171,165,179,85.43,88.49,171 [165 - 179],86.82% [85.43% - 88.49%],127,101,158,01-19-2021
91,CA- STOCKTON,94.02,184,177,190,92.7,95.43,184 [177 - 190],94.02% [92.7% - 95.43%],149,135,164,01-19-2021
