HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
430,VA- NORFOLK,88.21,107,98,129,83.44,97.44,107 [98 - 129],88.21% [83.44% - 97.44%],222,93,472,10-20-2020
431,VA- RICHMOND,97.79,415,378,535,87.96,128.06,415 [378 - 535],97.79% [87.96% - 128.06%],836,374,2259,10-20-2020
432,VA- ROANOKE,105.61,350,317,453,89.88,150.19,350 [317 - 453],105.61% [89.88% - 150.19%],715,276,1961,10-20-2020
435,VA- WINCHESTER,128.07,234,217,297,103.79,194.36,234 [217 - 297],128.07% [103.79% - 194.36%],448,222,1067,10-20-2020
437,WA- EVERETT,118.71,172,156,224,97.05,182.8,172 [156 - 224],118.71% [97.05% - 182.8%],317,140,844,10-20-2020
438,WA- OLYMPIA,91.68,40,37,49,84.59,106.07,40 [37 - 49],91.68% [84.59% - 106.07%],78,31,176,10-20-2020
439,WA- SEATTLE,89.13,258,235,306,84.12,98.59,258 [235 - 306],89.13% [84.12% - 98.59%],496,224,1012,10-20-2020
440,WA- SPOKANE,90.86,200,183,247,84.87,105.72,200 [183 - 247],90.86% [84.87% - 105.72%],408,183,967,10-20-2020
441,WA- TACOMA,102.51,144,132,169,91.0,124.66,144 [132 - 169],102.51% [91.0% - 124.66%],276,135,548,10-20-2020
442,WA- YAKIMA,100.67,62,57,79,90.54,131.99,62 [57 - 79],100.67% [90.54% - 131.99%],119,61,301,10-20-2020
443,WV- CHARLESTON,100.39,227,206,315,87.42,148.12,227 [206 - 315],100.39% [87.42% - 148.12%],494,180,1652,10-20-2020
444,WV- HUNTINGTON,92.65,99,90,124,85.15,110.55,99 [90 - 124],92.65% [85.15% - 110.55%],208,85,504,10-20-2020
445,WV- MORGANTOWN,97.23,146,131,192,85.79,134.57,146 [131 - 192],97.23% [85.79% - 134.57%],303,102,962,10-20-2020
446,WI- APPLETON,96.35,41,37,56,84.7,128.14,41 [37 - 56],96.35% [84.7% - 128.14%],100,29,297,10-20-2020
447,WI- GREEN BAY,90.06,72,64,91,83.19,105.8,72 [64 - 91],90.06% [83.19% - 105.8%],160,51,413,10-20-2020
448,WI- LA CROSSE,88.07,30,28,38,83.77,96.23,30 [28 - 38],88.07% [83.77% - 96.23%],77,36,155,10-20-2020
449,WI- MADISON,96.93,249,227,318,87.11,122.87,249 [227 - 318],96.93% [87.11% - 122.87%],509,214,1290,10-20-2020
450,WI- MARSHFIELD,99.26,106,97,136,88.4,130.17,106 [97 - 136],99.26% [88.4% - 130.17%],226,99,591,10-20-2020
451,WI- MILWAUKEE,93.12,525,481,659,85.72,111.67,525 [481 - 659],93.12% [85.72% - 111.67%],1082,472,2613,10-20-2020
452,WI- NEENAH,96.33,38,34,51,84.84,125.34,38 [34 - 51],96.33% [84.84% - 125.34%],91,27,253,10-20-2020
456,WI- WAUSAU,102.51,57,52,75,87.79,143.89,57 [52 - 75],102.51% [87.79% - 143.89%],127,44,361,10-20-2020
457,WY- CASPER,101.3,70,63,87,87.85,130.64,70 [63 - 87],101.3% [87.85% - 130.64%],149,55,355,10-20-2020
303,NY- NEW YORK,87.68,718,610,1137,80.03,109.63,718 [610 - 1137],87.68% [80.03% - 109.63%],1194,4,4606,10-20-2020
