HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
110,CT- HARTFORD,89.65,147,129,201,81.14,111.88,147 [129 - 201],89.65% [81.14% - 111.88%],314,37,1038,05-26-2020
111,CT- NEW HAVEN,88.8,159,140,216,81.61,109.08,159 [140 - 216],88.8% [81.61% - 109.08%],338,62,1120,05-26-2020
112,DE- WILMINGTON,85.04,42,38,55,82.36,94.72,42 [38 - 55],85.04% [82.36% - 94.72%],93,44,274,05-26-2020
113,DC- WASHINGTON,102.38,636,581,791,90.09,138.17,636 [581 - 791],102.38% [90.09% - 138.17%],1228,554,3193,05-26-2020
115,FL- BRADENTON,87.17,21,19,30,81.13,101.72,21 [19 - 30],87.17% [81.13% - 101.72%],50,8,154,05-26-2020
116,FL- CLEARWATER,84.6,35,31,47,80.92,93.93,35 [31 - 47],84.6% [80.92% - 93.93%],75,15,228,05-26-2020
118,FL- FORT LAUDERDALE,86.82,294,260,378,81.26,99.35,294 [260 - 378],86.82% [81.26% - 99.35%],593,110,1683,05-26-2020
119,FL- FORT MYERS,85.97,112,99,147,80.76,97.72,112 [99 - 147],85.97% [80.76% - 97.72%],228,29,678,05-26-2020
120,FL- GAINESVILLE,83.8,33,29,48,80.49,94.23,33 [29 - 48],83.8% [80.49% - 94.23%],69,9,262,05-26-2020
122,FL- HUDSON,85.07,28,25,38,80.48,94.7,28 [25 - 38],85.07% [80.48% - 94.7%],63,6,184,05-26-2020
123,FL- JACKSONVILLE,84.31,105,93,147,80.59,94.56,105 [93 - 147],84.31% [80.59% - 94.56%],211,29,715,05-26-2020
124,FL- LAKELAND,85.36,25,22,35,81.12,96.48,25 [22 - 35],85.36% [81.12% - 96.48%],57,12,176,05-26-2020
127,FL- MIAMI,86.64,358,315,458,81.17,98.87,358 [315 - 458],86.64% [81.17% - 98.87%],716,126,2035,05-26-2020
129,FL- OCALA,85.39,35,31,47,80.66,96.15,35 [31 - 47],85.39% [80.66% - 96.15%],73,9,221,05-26-2020
130,FL- ORLANDO,85.09,267,235,354,80.86,95.49,267 [235 - 354],85.09% [80.86% - 95.49%],527,89,1605,05-26-2020
131,FL- ORMOND BEACH,83.49,28,25,37,80.3,90.46,28 [25 - 37],83.49% [80.3% - 90.46%],57,5,173,05-26-2020
133,FL- PANAMA CITY,81.41,0,0,4,80.0,87.08,0 [0 - 4],81.41% [80.0% - 87.08%],9,0,47,05-26-2020
134,FL- PENSACOLA,84.58,49,44,66,80.98,93.11,49 [44 - 66],84.58% [80.98% - 93.11%],107,23,308,05-26-2020
