HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
261,MS- OXFORD,88.55,49,45,53,83.13,91.6,49 [45 - 53],88.55% [83.13% - 91.6%],54,20,74,08-04-2020
262,MS- TUPELO,89.25,148,134,157,83.19,92.33,148 [134 - 157],89.25% [83.19% - 92.33%],150,52,201,08-04-2020
263,MO- CAPE GIRARDEAU,82.95,26,24,32,81.17,86.62,26 [24 - 32],82.95% [81.17% - 86.62%],30,12,68,08-04-2020
264,MO- COLUMBIA,85.02,89,80,105,81.52,90.68,89 [80 - 105],85.02% [81.52% - 90.68%],92,28,197,08-04-2020
267,MO- JOPLIN,87.55,68,64,74,83.98,91.74,68 [64 - 74],87.55% [83.98% - 91.74%],72,38,112,08-04-2020
268,MO- KANSAS CITY,85.3,418,384,447,82.26,87.66,418 [384 - 447],85.3% [82.26% - 87.66%],420,179,607,08-04-2020
270,MO- SPRINGFIELD,86.55,125,115,143,82.96,92.61,125 [115 - 143],86.55% [82.96% - 92.61%],128,58,247,08-04-2020
273,MO- ST LOUIS,83.26,395,359,449,81.3,86.33,395 [359 - 449],83.26% [81.3% - 86.33%],397,159,772,08-04-2020
274,MT- BILLINGS,81.93,39,36,48,80.63,84.26,39 [36 - 48],81.93% [80.63% - 84.26%],42,14,94,08-04-2020
275,MT- GREAT FALLS,81.08,7,7,10,80.25,83.23,7 [7 - 10],81.08% [80.25% - 83.23%],8,2,26,08-04-2020
276,MT- MISSOULA,82.55,25,23,32,80.95,85.87,25 [23 - 32],82.55% [80.95% - 85.87%],29,11,68,08-04-2020
277,NE- LINCOLN,81.38,22,20,24,80.49,82.12,22 [20 - 24],81.38% [80.49% - 82.12%],25,9,39,08-04-2020
278,NE- OMAHA,80.69,35,32,38,80.24,81.06,35 [32 - 38],80.69% [80.24% - 81.06%],37,13,58,08-04-2020
279,NV- LAS VEGAS,87.45,299,273,327,83.7,91.24,299 [273 - 327],87.45% [83.7% - 91.24%],304,151,459,08-04-2020
280,NV- RENO,84.76,88,78,102,81.25,89.01,88 [78 - 102],84.76% [81.25% - 89.01%],91,24,173,08-04-2020
281,NH- LEBANON,80.01,0,0,0,80.0,80.21,0 [0 - 0],80.01% [80.0% - 80.21%],0,0,2,08-04-2020
282,NH- MANCHESTER,80.17,0,0,1,80.05,80.51,0 [0 - 1],80.17% [80.05% - 80.51%],3,1,10,08-04-2020
283,NJ- CAMDEN,80.92,71,67,89,80.51,82.43,71 [67 - 89],80.92% [80.51% - 82.43%],73,41,194,08-04-2020
284,NJ- HACKENSACK,80.78,28,26,32,80.24,81.64,28 [26 - 32],80.78% [80.24% - 81.64%],29,9,61,08-04-2020
285,NJ- MORRISTOWN,80.86,14,14,18,80.52,82.18,14 [14 - 18],80.86% [80.52% - 82.18%],16,10,42,08-04-2020
288,NJ- NEW BRUNSWICK,80.81,21,20,24,80.33,81.66,21 [20 - 24],80.81% [80.33% - 81.66%],22,9,46,08-04-2020
289,NJ- NEWARK,80.55,21,21,25,80.35,81.03,21 [21 - 25],80.55% [80.35% - 81.03%],26,17,50,08-04-2020
291,NJ- PATERSON,80.55,0,0,1,80.0,81.02,0 [0 - 1],80.55% [80.0% - 81.02%],6,0,12,08-04-2020
292,NJ- RIDGEWOOD,82.19,14,13,16,80.13,84.29,14 [13 - 16],82.19% [80.13% - 84.29%],17,1,34,08-04-2020
293,NM- ALBUQUERQUE,87.64,253,238,266,84.35,90.24,253 [238 - 266],87.64% [84.35% - 90.24%],256,146,344,08-04-2020
295,NY- ALBANY,80.35,14,13,33,80.0,82.82,14 [13 - 33],80.35% [80.0% - 82.82%],17,0,139,08-04-2020
296,NY- BINGHAMTON,80.12,0,0,4,80.0,83.23,0 [0 - 4],80.12% [80.0% - 83.23%],1,0,30,08-04-2020
297,NY- BRONX,81.55,56,51,72,80.52,84.42,56 [51 - 72],81.55% [80.52% - 84.42%],56,19,160,08-04-2020
299,NY- BUFFALO,80.53,14,12,33,80.0,83.87,14 [12 - 33],80.53% [80.0% - 83.87%],19,0,139,08-04-2020
300,NY- ELMIRA,80.02,0,0,4,80.0,82.88,0 [0 - 4],80.02% [80.0% - 82.88%],0,0,31,08-04-2020
301,NY- EAST LONG ISLAND,81.76,189,172,239,80.63,84.79,189 [172 - 239],81.76% [80.63% - 84.79%],192,69,524,08-04-2020
304,NY- ROCHESTER,80.64,14,12,32,80.0,84.29,14 [12 - 32],80.64% [80.0% - 84.29%],18,0,127,08-04-2020
307,NY- SYRACUSE,80.48,10,8,25,80.0,83.79,10 [8 - 25],80.48% [80.0% - 83.79%],13,0,107,08-04-2020
308,NY- WHITE PLAINS,81.55,42,39,54,80.54,84.18,42 [39 - 54],81.55% [80.54% - 84.18%],46,16,124,08-04-2020
309,NC- ASHEVILLE,87.55,139,131,152,84.47,92.09,139 [131 - 152],87.55% [84.47% - 92.09%],141,84,227,08-04-2020
