HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
369,SC- SPARTANBURG,87,42,37,48,83.52,90.48,04-27-2020
371,SD- SIOUX FALLS,83,62,54,79,79.68,86.32,04-27-2020
373,TN- CHATTANOOGA,84,54,47,64,80.64,87.36,04-27-2020
374,TN- JACKSON,80,0,0,4,76.8,83.2,04-27-2020
375,TN- JOHNSON CITY,80,0,0,2,76.8,83.2,04-27-2020
376,TN- KINGSPORT,80,0,0,1,76.8,83.2,04-27-2020
377,TN- KNOXVILLE,81,34,29,45,77.76,84.24,04-27-2020
379,TN- MEMPHIS,88,299,263,344,84.48,91.52,04-27-2020
380,TN- NASHVILLE,92,578,526,695,88.32,95.68,04-27-2020
382,TX- ABILENE,80,0,0,2,76.8,83.2,04-27-2020
383,TX- AMARILLO,80,6,4,8,76.8,83.2,04-27-2020
385,TX- AUSTIN,94,283,253,327,90.24,97.76,04-27-2020
386,TX- BEAUMONT,83,28,26,34,79.68,86.32,04-27-2020
388,TX- BRYAN,88,22,19,29,84.48,91.52,04-27-2020
390,TX- CORPUS CHRISTI,81,9,8,12,77.76,84.24,04-27-2020
391,TX- DALLAS,91,752,677,882,87.36,94.64,04-27-2020
393,TX- EL PASO,83,54,48,67,79.68,86.32,04-27-2020
394,TX- FORT WORTH,91,315,283,367,87.36,94.64,04-27-2020
396,TX- HARLINGEN,83,21,20,24,79.68,86.32,04-27-2020
397,TX- HOUSTON,88,812,729,952,84.48,91.52,04-27-2020
399,TX- LONGVIEW,83,9,7,12,79.68,86.32,04-27-2020
400,TX- LUBBOCK,81,21,19,26,77.76,84.24,04-27-2020
402,TX- MCALLEN,82,19,17,24,78.72,85.28,04-27-2020
406,TX- ODESSA,82,14,12,16,78.72,85.28,04-27-2020
411,TX- SAN ANGELO,80,0,0,1,76.8,83.2,04-27-2020
412,TX- SAN ANTONIO,93,504,452,590,89.28,96.72,04-27-2020
413,TX- TEMPLE,90,50,44,59,86.4,93.6,04-27-2020
416,TX- TYLER,83,30,26,39,79.68,86.32,04-27-2020
417,TX- VICTORIA,81,7,6,7,77.76,84.24,04-27-2020
418,TX- WACO,91,36,33,46,87.36,94.64,04-27-2020
420,TX- WICHITA FALLS,82,7,6,9,78.72,85.28,04-27-2020
421,UT- OGDEN,89,34,31,40,85.44,92.56,04-27-2020
422,UT- PROVO,88,39,35,46,84.48,91.52,04-27-2020
423,UT- SALT LAKE CITY,86,134,120,157,82.56,89.44,04-27-2020
424,VT- BURLINGTON,92,86,74,103,88.32,95.68,04-27-2020
426,VA- ARLINGTON,110,414,370,499,105.6,114.4,04-27-2020
427,VA- CHARLOTTESVILLE,82,14,12,26,78.72,85.28,04-27-2020
428,VA- LYNCHBURG,80,0,0,0,76.8,83.2,04-27-2020
429,VA- NEWPORT NEWS,92,59,50,70,88.32,95.68,04-27-2020
430,VA- NORFOLK,87,86,75,107,83.52,90.48,04-27-2020
431,VA- RICHMOND,85,127,113,167,81.6,88.4,04-27-2020
432,VA- ROANOKE,80,0,0,1,76.8,83.2,04-27-2020
435,VA- WINCHESTER,87,32,28,42,83.52,90.48,04-27-2020
437,WA- EVERETT,190,462,422,509,182.4,197.6,04-27-2020
438,WA- OLYMPIA,135,199,179,227,129.6,140.4,04-27-2020
439,WA- SEATTLE,147,1892,1733,2096,141.12,152.88,04-27-2020
440,WA- SPOKANE,96,334,298,394,92.16,99.84,04-27-2020
441,WA- TACOMA,165,543,497,604,158.4,171.6,04-27-2020
442,WA- YAKIMA,106,81,73,94,101.76,110.24,04-27-2020
443,WV- CHARLESTON,80,2,1,3,76.8,83.2,04-27-2020
