HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
429,VA- NEWPORT NEWS,109.96,168,152,244,89.39,202.39,168 [152 - 244],109.96% [89.39% - 202.39%],05-18-2020
430,VA- NORFOLK,106.48,376,338,537,87.91,184.29,376 [338 - 537],106.48% [87.91% - 184.29%],05-18-2020
431,VA- RICHMOND,103.82,581,515,808,85.94,168.0,581 [515 - 808],103.82% [85.94% - 168.0%],05-18-2020
432,VA- ROANOKE,83.22,42,36,83,80.0,99.47,42 [36 - 83],83.22% [80.0% - 99.47%],05-18-2020
435,VA- WINCHESTER,99.29,91,83,118,86.75,137.23,91 [83 - 118],99.29% [86.75% - 137.23%],05-18-2020
437,WA- EVERETT,106.45,90,81,103,89.01,128.96,90 [81 - 103],106.45% [89.01% - 128.96%],05-18-2020
438,WA- OLYMPIA,102.21,64,58,76,87.41,128.15,64 [58 - 76],102.21% [87.41% - 128.15%],05-18-2020
439,WA- SEATTLE,97.31,421,379,481,86.08,113.49,421 [379 - 481],97.31% [86.08% - 113.49%],05-18-2020
440,WA- SPOKANE,88.05,143,127,183,81.76,102.85,143 [127 - 183],88.05% [81.76% - 102.85%],05-18-2020
441,WA- TACOMA,103.84,129,116,148,88.07,125.72,129 [116 - 148],103.84% [88.07% - 125.72%],05-18-2020
442,WA- YAKIMA,93.15,35,31,45,82.59,117.48,35 [31 - 45],93.15% [82.59% - 117.48%],05-18-2020
443,WV- CHARLESTON,80.0,0,0,1,80.0,80.49,0 [0 - 1],80.0% [80.0% - 80.49%],05-18-2020
444,WV- HUNTINGTON,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
445,WV- MORGANTOWN,80.0,0,0,1,80.0,81.53,0 [0 - 1],80.0% [80.0% - 81.53%],05-18-2020
446,WI- APPLETON,89.36,27,24,37,81.62,110.15,27 [24 - 37],89.36% [81.62% - 110.15%],05-18-2020
447,WI- GREEN BAY,84.71,35,32,49,80.94,94.93,35 [32 - 49],84.71% [80.94% - 94.93%],05-18-2020
448,WI- LA CROSSE,87.91,35,32,46,81.47,102.72,35 [32 - 46],87.91% [81.47% - 102.72%],05-18-2020
449,WI- MADISON,90.87,161,145,193,83.19,105.82,161 [145 - 193],90.87% [83.19% - 105.82%],05-18-2020
450,WI- MARSHFIELD,83.86,21,19,30,80.25,93.07,21 [19 - 30],83.86% [80.25% - 93.07%],05-18-2020
451,WI- MILWAUKEE,91.75,478,433,560,84.12,105.78,478 [433 - 560],91.75% [84.12% - 105.78%],05-18-2020
452,WI- NEENAH,89.6,25,22,33,81.97,107.24,25 [22 - 33],89.6% [81.97% - 107.24%],05-18-2020
456,WI- WAUSAU,82.56,5,5,9,80.71,91.68,5 [5 - 9],82.56% [80.71% - 91.68%],05-18-2020
457,WY- CASPER,81.42,0,0,1,80.0,83.85,0 [0 - 1],81.42% [80.0% - 83.85%],05-18-2020
303,NY- NEW YORK,85.84,399,357,500,81.79,95.03,399 [357 - 500],85.84% [81.79% - 95.03%],05-18-2020
