HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
439,WA- SEATTLE,110.1,784,716,878,92.22,134.75,784 [716 - 878],110.1% [92.22% - 134.75%],05-12-2020
440,WA- SPOKANE,92.23,237,211,299,83.22,113.76,237 [211 - 299],92.23% [83.22% - 113.76%],05-12-2020
441,WA- TACOMA,121.27,239,219,269,96.46,155.14,239 [219 - 269],121.27% [96.46% - 155.14%],05-12-2020
442,WA- YAKIMA,101.05,63,57,77,86.56,132.33,63 [57 - 77],101.05% [86.56% - 132.33%],05-12-2020
443,WV- CHARLESTON,80.0,0,0,2,80.0,80.78,0 [0 - 2],80.0% [80.0% - 80.78%],05-12-2020
444,WV- HUNTINGTON,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
445,WV- MORGANTOWN,80.15,2,1,5,80.0,82.44,2 [1 - 5],80.15% [80.0% - 82.44%],05-12-2020
446,WI- APPLETON,89.5,28,25,37,80.81,104.96,28 [25 - 37],89.5% [80.81% - 104.96%],05-12-2020
447,WI- GREEN BAY,84.47,39,35,50,80.75,91.56,39 [35 - 50],84.47% [80.75% - 91.56%],05-12-2020
448,WI- LA CROSSE,91.31,54,48,66,82.09,104.82,54 [48 - 66],91.31% [82.09% - 104.82%],05-12-2020
449,WI- MADISON,92.04,191,170,223,82.99,105.29,191 [170 - 223],92.04% [82.99% - 105.29%],05-12-2020
450,WI- MARSHFIELD,83.29,20,18,28,80.0,90.27,20 [18 - 28],83.29% [80.0% - 90.27%],05-12-2020
451,WI- MILWAUKEE,94.04,612,552,699,84.75,108.38,612 [552 - 699],94.04% [84.75% - 108.38%],05-12-2020
452,WI- NEENAH,90.38,28,25,35,81.25,103.84,28 [25 - 35],90.38% [81.25% - 103.84%],05-12-2020
456,WI- WAUSAU,82.3,4,3,7,80.0,88.14,4 [3 - 7],82.3% [80.0% - 88.14%],05-12-2020
457,WY- CASPER,81.49,0,0,2,80.0,83.99,0 [0 - 2],81.49% [80.0% - 83.99%],05-12-2020
303,NY- NEW YORK,86.51,481,440,616,82.65,98.72,481 [440 - 616],86.51% [82.65% - 98.72%],05-12-2020
