HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
336,OK- LAWTON,87.67,24,22,26,85.19,88.84,24 [22 - 26],87.67% [85.19% - 88.84%],54,37,63,10-13-2020
339,OK- OKLAHOMA CITY,89.33,307,295,323,87.4,91.29,307 [295 - 323],89.33% [87.4% - 91.29%],613,487,743,10-13-2020
340,OK- TULSA,87.67,191,185,202,86.23,89.26,191 [185 - 202],87.67% [86.23% - 89.26%],385,313,465,10-13-2020
341,OR- BEND,87.4,15,14,16,84.2,89.14,15 [14 - 16],87.4% [84.2% - 89.14%],29,17,37,10-13-2020
342,OR- EUGENE,88.58,51,49,55,85.87,90.38,51 [49 - 55],88.58% [85.87% - 90.38%],100,69,122,10-13-2020
343,OR- MEDFORD,82.31,7,7,8,81.24,82.59,7 [7 - 8],82.31% [81.24% - 82.59%],22,12,25,10-13-2020
344,OR- PORTLAND,84.96,134,128,144,83.88,86.26,134 [128 - 144],84.96% [83.88% - 86.26%],259,203,328,10-13-2020
345,OR- SALEM,88.13,14,14,15,85.96,88.49,14 [14 - 15],88.13% [85.96% - 88.49%],35,26,37,10-13-2020
346,PA- ALLENTOWN,82.13,28,28,32,81.58,83.14,28 [28 - 32],82.13% [81.58% - 83.14%],67,50,99,10-13-2020
347,PA- ALTOONA,85.78,15,15,16,84.75,86.76,15 [15 - 16],85.78% [84.75% - 86.76%],40,33,47,10-13-2020
350,PA- DANVILLE,92.0,92,88,97,89.35,94.42,92 [88 - 97],92.0% [89.35% - 94.42%],182,142,219,10-13-2020
351,PA- ERIE,82.13,21,21,23,81.57,82.47,21 [21 - 23],82.13% [81.57% - 82.47%],47,35,55,10-13-2020
352,PA- HARRISBURG,84.05,43,41,46,83.62,84.67,43 [41 - 46],84.05% [83.62% - 84.67%],92,83,107,10-13-2020
354,PA- JOHNSTOWN,81.52,0,0,1,81.49,82.03,0 [0 - 1],81.52% [81.49% - 82.03%],11,11,15,10-13-2020
355,PA- LANCASTER,85.52,28,28,30,84.62,86.8,28 [28 - 30],85.52% [84.62% - 86.8%],65,55,81,10-13-2020
356,PA- PHILADELPHIA,83.66,226,218,243,82.98,84.82,226 [218 - 243],83.66% [82.98% - 84.82%],456,371,600,10-13-2020
357,PA- PITTSBURGH,81.54,87,85,93,81.35,82.03,87 [85 - 93],81.54% [81.35% - 82.03%],179,158,237,10-13-2020
358,PA- READING,85.79,43,42,46,84.56,86.74,43 [42 - 46],85.79% [84.56% - 86.74%],82,65,96,10-13-2020
359,PA- SAYRE,107.57,87,82,95,100.59,116.73,87 [82 - 95],107.57% [100.59% - 116.73%],129,97,173,10-13-2020
360,PA- SCRANTON,85.3,28,27,29,83.85,86.8,28 [27 - 29],85.3% [83.85% - 86.8%],46,34,60,10-13-2020
362,PA- WILKES-BARRE,81.29,0,0,1,81.22,82.44,0 [0 - 1],81.29% [81.22% - 82.44%],8,8,16,10-13-2020
363,PA- YORK,85.56,21,21,22,84.21,86.74,21 [21 - 22],85.56% [84.21% - 86.74%],46,35,56,10-13-2020
364,RI- PROVIDENCE,87.3,120,115,125,85.75,88.88,120 [115 - 125],87.3% [85.75% - 88.88%],228,180,278,10-13-2020
365,SC- CHARLESTON,82.59,35,34,36,82.28,83.06,35 [34 - 36],82.59% [82.28% - 83.06%],76,68,91,10-13-2020
366,SC- COLUMBIA,85.14,91,88,94,84.3,85.82,91 [88 - 94],85.14% [84.3% - 85.82%],192,161,218,10-13-2020
