region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
145,GA- AUGUSTA,80.08,14,14,16,80.08,80.16,14 [14 - 16],80.08% [80.08% - 80.16%],2,2,4,03-16-2021
146,GA- COLUMBUS,80.24,21,19,23,80.16,80.4,21 [19 - 23],80.24% [80.16% - 80.4%],3,2,5,03-16-2021
147,GA- MACON,80.13,21,21,23,80.13,80.22,21 [21 - 23],80.13% [80.13% - 80.22%],3,3,5,03-16-2021
148,GA- ROME,80.27,12,11,13,80.27,80.27,12 [11 - 13],80.27% [80.27% - 80.27%],2,2,2,03-16-2021
149,GA- SAVANNAH,80.44,50,47,54,80.29,80.53,50 [47 - 54],80.44% [80.29% - 80.53%],9,6,11,03-16-2021
151,ID- BOISE,80.24,35,34,37,80.19,80.34,35 [34 - 37],80.24% [80.19% - 80.34%],5,4,7,03-16-2021
152,ID- IDAHO FALLS,83.47,104,101,110,82.82,84.56,104 [101 - 110],83.47% [82.82% - 84.56%],16,13,21,03-16-2021
154,IL- AURORA,80.76,22,21,23,80.57,80.76,22 [21 - 23],80.76% [80.57% - 80.76%],4,3,4,03-16-2021
155,IL- BLUE ISLAND,80.24,37,35,39,80.16,80.28,37 [35 - 39],80.24% [80.16% - 80.28%],6,4,7,03-16-2021
156,IL- CHICAGO,80.22,121,117,126,80.18,80.27,121 [117 - 126],80.22% [80.18% - 80.27%],19,15,23,03-16-2021
158,IL- ELGIN,80.55,37,35,38,80.37,80.64,37 [35 - 38],80.55% [80.37% - 80.64%],6,4,7,03-16-2021
161,IL- EVANSTON,80.33,50,48,53,80.25,80.37,50 [48 - 53],80.33% [80.25% - 80.37%],8,6,9,03-16-2021
163,IL- HINSDALE,80.55,37,35,39,80.36,80.64,37 [35 - 39],80.55% [80.36% - 80.64%],6,4,7,03-16-2021
164,IL- JOLIET,80.6,47,45,49,80.45,80.68,47 [45 - 49],80.6% [80.45% - 80.68%],8,6,9,03-16-2021
166,IL- MELROSE PARK,80.39,81,78,85,80.29,80.48,81 [78 - 85],80.39% [80.29% - 80.48%],12,9,15,03-16-2021
170,IL- PEORIA,80.32,42,40,44,80.22,80.43,42 [40 - 44],80.32% [80.22% - 80.43%],6,4,8,03-16-2021
171,IL- ROCKFORD,80.46,48,45,50,80.26,80.52,48 [45 - 50],80.46% [80.26% - 80.52%],7,4,8,03-16-2021
172,IL- SPRINGFIELD,80.2,35,33,37,80.12,80.2,35 [33 - 37],80.2% [80.12% - 80.2%],5,3,5,03-16-2021
173,IL- URBANA,80.38,28,28,30,80.38,80.38,28 [28 - 30],80.38% [80.38% - 80.38%],4,4,4,03-16-2021
175,IL- BLOOMINGTON,81.12,18,17,20,80.75,81.5,18 [17 - 20],81.12% [80.75% - 81.5%],3,2,4,03-16-2021
179,IN- EVANSVILLE,80.1,14,14,17,80.1,80.15,14 [14 - 17],80.1% [80.1% - 80.15%],2,2,3,03-16-2021
180,IN- FORT WAYNE,80.32,49,46,52,80.23,80.45,49 [46 - 52],80.32% [80.23% - 80.45%],7,5,10,03-16-2021
181,IN- GARY,80.27,24,22,26,80.2,80.27,24 [22 - 26],80.27% [80.2% - 80.27%],4,3,4,03-16-2021
183,IN- INDIANAPOLIS,80.26,106,102,117,80.2,80.42,106 [102 - 117],80.26% [80.2% - 80.42%],17,13,27,03-16-2021
184,IN- LAFAYETTE,80.27,14,13,15,80.27,80.4,14 [13 - 15],80.27% [80.27% - 80.4%],2,2,3,03-16-2021
185,IN- MUNCIE,80.24,7,7,8,80.24,80.24,7 [7 - 8],80.24% [80.24% - 80.24%],1,1,1,03-16-2021
186,IN- MUNSTER,80.17,12,11,13,80.17,80.17,12 [11 - 13],80.17% [80.17% - 80.17%],2,2,2,03-16-2021
187,IN- SOUTH BEND,80.65,70,67,74,80.52,80.78,70 [67 - 74],80.65% [80.52% - 80.78%],10,8,12,03-16-2021
188,IN- TERRE HAUTE,80.19,7,7,7,80.19,80.19,7 [7 - 7],80.19% [80.19% - 80.19%],1,1,1,03-16-2021
190,IA- CEDAR RAPIDS,80.18,14,13,15,80.09,80.27,14 [13 - 15],80.18% [80.09% - 80.27%],2,1,3,03-16-2021
191,IA- DAVENPORT,80.22,35,33,36,80.13,80.27,35 [33 - 36],80.22% [80.13% - 80.27%],5,3,6,03-16-2021
192,IA- DES MOINES,80.46,105,102,112,80.36,80.61,105 [102 - 112],80.46% [80.36% - 80.61%],15,12,20,03-16-2021
193,IA- DUBUQUE,80.18,7,7,7,80.18,80.18,7 [7 - 7],80.18% [80.18% - 80.18%],1,1,1,03-16-2021
194,IA- IOWA CITY,80.15,21,20,22,80.1,80.21,21 [20 - 22],80.15% [80.1% - 80.21%],3,2,4,03-16-2021
195,IA- MASON CITY,80.14,7,7,8,80.14,80.14,7 [7 - 8],80.14% [80.14% - 80.14%],1,1,1,03-16-2021
196,IA- SIOUX CITY,80.44,35,33,40,80.27,80.71,35 [33 - 40],80.44% [80.27% - 80.71%],5,3,8,03-16-2021
197,IA- WATERLOO,80.31,11,10,12,80.16,80.31,11 [10 - 12],80.31% [80.16% - 80.31%],2,1,2,03-16-2021
200,KS- TOPEKA,80.06,3,2,4,80.06,80.06,3 [2 - 4],80.06% [80.06% - 80.06%],1,1,1,03-16-2021
201,KS- WICHITA,80.08,17,15,20,80.04,80.08,17 [15 - 20],80.08% [80.04% - 80.08%],4,2,4,03-16-2021
203,KY- COVINGTON,80.73,56,54,59,80.73,81.0,56 [54 - 59],80.73% [80.73% - 81.0%],8,8,11,03-16-2021
204,KY- LEXINGTON,80.5,169,160,179,80.35,80.58,169 [160 - 179],80.5% [80.35% - 80.58%],26,18,30,03-16-2021
205,KY- LOUISVILLE,80.44,131,126,136,80.33,80.54,131 [126 - 136],80.44% [80.33% - 80.54%],21,16,26,03-16-2021
207,KY- OWENSBORO,80.42,8,6,10,80.42,80.42,8 [6 - 10],80.42% [80.42% - 80.42%],2,2,2,03-16-2021
208,KY- PADUCAH,80.8,80,72,89,80.31,81.36,80 [72 - 89],80.8% [80.31% - 81.36%],13,5,22,03-16-2021
209,LA- ALEXANDRIA,80.1,7,6,7,80.0,80.1,7 [6 - 7],80.1% [80.0% - 80.1%],1,0,1,03-16-2021
210,LA- BATON ROUGE,80.32,46,43,48,80.2,80.36,46 [43 - 48],80.32% [80.2% - 80.36%],8,5,9,03-16-2021
212,LA- HOUMA,80.14,7,7,8,80.14,80.29,7 [7 - 8],80.14% [80.14% - 80.29%],1,1,2,03-16-2021
213,LA- LAFAYETTE,80.23,31,29,32,80.14,80.28,31 [29 - 32],80.23% [80.14% - 80.28%],5,3,6,03-16-2021
214,LA- LAKE CHARLES,80.69,42,39,42,80.46,80.69,42 [39 - 42],80.69% [80.46% - 80.69%],6,4,6,03-16-2021
