HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
301,NY- EAST LONG ISLAND,133,39436,33937,39787,04-08-2020
304,NY- ROCHESTER,84,938,801,946,04-08-2020
307,NY- SYRACUSE,82,430,363,434,04-08-2020
308,NY- WHITE PLAINS,136,11569,10003,11669,04-08-2020
309,NC- ASHEVILLE,80,18,15,18,04-08-2020
311,NC- CHARLOTTE,83,1279,1093,1290,04-08-2020
312,NC- DURHAM,81,359,305,362,04-08-2020
313,NC- GREENSBORO,81,123,104,124,04-08-2020
314,NC- GREENVILLE,80,0,0,0,04-08-2020
315,NC- HICKORY,80,7,5,7,04-08-2020
318,NC- RALEIGH,83,855,731,862,04-08-2020
319,NC- WILMINGTON,80,43,34,43,04-08-2020
320,NC- WINSTON-SALEM,80,198,167,199,04-08-2020
321,ND- BISMARCK,80,42,37,42,04-08-2020
322,ND- FARGO MOORHEAD -MN,80,0,0,0,04-08-2020
323,ND- GRAND FORKS,80,0,0,0,04-08-2020
324,ND- MINOT,80,0,0,0,04-08-2020
325,OH- AKRON,83,508,433,512,04-08-2020
326,OH- CANTON,81,226,192,228,04-08-2020
327,OH- CINCINNATI,81,535,460,539,04-08-2020
328,OH- CLEVELAND,83,1943,1669,1960,04-08-2020
329,OH- COLUMBUS,80,510,432,514,04-08-2020
330,OH- DAYTON,80,166,142,167,04-08-2020
331,OH- ELYRIA,85,251,216,253,04-08-2020
332,OH- KETTERING,81,105,90,105,04-08-2020
334,OH- TOLEDO,81,279,235,281,04-08-2020
335,OH- YOUNGSTOWN,81,249,214,251,04-08-2020
336,OK- LAWTON,80,0,0,0,04-08-2020
339,OK- OKLAHOMA CITY,82,1289,1106,1300,04-08-2020
340,OK- TULSA,80,175,152,176,04-08-2020
341,OR- BEND,82,57,49,57,04-08-2020
342,OR- EUGENE,81,142,122,143,04-08-2020
343,OR- MEDFORD,80,0,0,0,04-08-2020
344,OR- PORTLAND,82,716,612,722,04-08-2020
345,OR- SALEM,83,105,90,105,04-08-2020
346,PA- ALLENTOWN,86,1370,1168,1382,04-08-2020
347,PA- ALTOONA,80,0,0,0,04-08-2020
350,PA- DANVILLE,80,2,2,2,04-08-2020
351,PA- ERIE,80,15,11,15,04-08-2020
352,PA- HARRISBURG,81,245,207,247,04-08-2020
354,PA- JOHNSTOWN,80,0,0,0,04-08-2020
355,PA- LANCASTER,83,223,190,225,04-08-2020
356,PA- PHILADELPHIA,84,3976,3397,4012,04-08-2020
357,PA- PITTSBURGH,80,531,454,535,04-08-2020
358,PA- READING,83,283,241,285,04-08-2020
359,PA- SAYRE,80,16,14,16,04-08-2020
360,PA- SCRANTON,83,206,175,207,04-08-2020
362,PA- WILKES-BARRE,82,98,83,98,04-08-2020
363,PA- YORK,82,134,115,135,04-08-2020
365,SC- CHARLESTON,84,942,804,950,04-08-2020
366,SC- COLUMBIA,90,2707,2321,2731,04-08-2020
367,SC- FLORENCE,82,213,180,215,04-08-2020
368,SC- GREENVILLE,85,771,656,778,04-08-2020
369,SC- SPARTANBURG,82,180,152,181,04-08-2020
371,SD- SIOUX FALLS,80,94,81,94,04-08-2020
373,TN- CHATTANOOGA,80,21,19,21,04-08-2020
374,TN- JACKSON,80,0,0,0,04-08-2020
375,TN- JOHNSON CITY,80,0,0,0,04-08-2020
376,TN- KINGSPORT,80,0,0,0,04-08-2020
377,TN- KNOXVILLE,80,21,19,21,04-08-2020
379,TN- MEMPHIS,80,380,327,383,04-08-2020
380,TN- NASHVILLE,81,1025,878,1034,04-08-2020
382,TX- ABILENE,80,0,0,0,04-08-2020
383,TX- AMARILLO,80,0,0,0,04-08-2020
385,TX- AUSTIN,86,1504,1285,1518,04-08-2020
386,TX- BEAUMONT,80,70,58,70,04-08-2020
388,TX- BRYAN,84,188,163,189,04-08-2020
390,TX- CORPUS CHRISTI,80,3,2,3,04-08-2020
391,TX- DALLAS,85,4126,3526,4164,04-08-2020
393,TX- EL PASO,81,197,170,198,04-08-2020
394,TX- FORT WORTH,84,1523,1300,1537,04-08-2020
396,TX- HARLINGEN,81,111,96,111,04-08-2020
397,TX- HOUSTON,83,4378,3743,4418,04-08-2020
399,TX- LONGVIEW,80,0,0,0,04-08-2020
400,TX- LUBBOCK,80,91,79,91,04-08-2020
402,TX- MCALLEN,80,67,57,67,04-08-2020
406,TX- ODESSA,80,0,0,0,04-08-2020
411,TX- SAN ANGELO,80,0,0,0,04-08-2020
412,TX- SAN ANTONIO,86,3142,2685,3171,04-08-2020
413,TX- TEMPLE,83,178,151,179,04-08-2020
416,TX- TYLER,81,189,164,190,04-08-2020
417,TX- VICTORIA,80,0,0,0,04-08-2020
418,TX- WACO,86,272,234,274,04-08-2020
420,TX- WICHITA FALLS,81,85,73,85,04-08-2020
421,UT- OGDEN,81,69,59,69,04-08-2020
422,UT- PROVO,81,89,76,89,04-08-2020
423,UT- SALT LAKE CITY,81,306,263,308,04-08-2020
424,VT- BURLINGTON,85,537,456,542,04-08-2020
426,VA- ARLINGTON,85,1063,909,1072,04-08-2020
427,VA- CHARLOTTESVILLE,80,0,0,0,04-08-2020
428,VA- LYNCHBURG,80,0,0,0,04-08-2020
429,VA- NEWPORT NEWS,82,204,176,205,04-08-2020
430,VA- NORFOLK,80,115,99,116,04-08-2020
