HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
340,OK- TULSA,84.29,105,93,141,80.78,93.6,105 [93 - 141],84.29% [80.78% - 93.6%],215,39,683,05-18-2020
341,OR- BEND,83.12,0,0,3,80.99,91.85,0 [0 - 3],83.12% [80.99% - 91.85%],12,4,48,05-18-2020
342,OR- EUGENE,83.3,14,13,21,80.77,91.06,14 [13 - 21],83.3% [80.77% - 91.06%],38,9,130,05-18-2020
343,OR- MEDFORD,82.31,7,6,11,80.31,87.36,7 [6 - 11],82.31% [80.31% - 87.36%],22,3,71,05-18-2020
344,OR- PORTLAND,85.52,140,126,171,81.62,93.5,140 [126 - 171],85.52% [81.62% - 93.5%],288,85,707,05-18-2020
345,OR- SALEM,86.3,12,11,16,81.38,97.66,12 [11 - 16],86.3% [81.38% - 97.66%],27,6,77,05-18-2020
346,PA- ALLENTOWN,82.52,28,26,40,80.92,87.35,28 [26 - 40],82.52% [80.92% - 87.35%],79,29,232,05-18-2020
347,PA- ALTOONA,80.0,0,0,0,80.0,81.15,0 [0 - 0],80.0% [80.0% - 81.15%],0,0,8,05-18-2020
350,PA- DANVILLE,80.03,0,0,2,80.0,82.63,0 [0 - 2],80.03% [80.0% - 82.63%],0,0,40,05-18-2020
351,PA- ERIE,80.18,0,0,3,80.0,82.07,0 [0 - 3],80.18% [80.0% - 82.07%],3,0,46,05-18-2020
352,PA- HARRISBURG,82.43,21,21,30,81.27,87.03,21 [21 - 30],82.43% [81.27% - 87.03%],55,29,161,05-18-2020
354,PA- JOHNSTOWN,80.01,0,0,0,80.0,81.22,0 [0 - 0],80.01% [80.0% - 81.22%],0,0,9,05-18-2020
355,PA- LANCASTER,82.33,7,7,12,81.09,87.56,7 [7 - 12],82.33% [81.09% - 87.56%],27,13,90,05-18-2020
356,PA- PHILADELPHIA,82.24,132,120,164,80.88,85.95,132 [120 - 164],82.24% [80.88% - 85.95%],279,109,741,05-18-2020
357,PA- PITTSBURGH,80.4,21,19,33,80.08,81.83,21 [19 - 33],80.4% [80.08% - 81.83%],46,9,214,05-18-2020
358,PA- READING,81.63,7,7,12,80.77,85.97,7 [7 - 12],81.63% [80.77% - 85.97%],23,11,85,05-18-2020
359,PA- SAYRE,80.0,0,0,1,80.0,85.73,0 [0 - 1],80.0% [80.0% - 85.73%],0,0,27,05-18-2020
360,PA- SCRANTON,81.46,0,0,3,80.0,85.33,0 [0 - 3],81.46% [80.0% - 85.33%],12,0,47,05-18-2020
362,PA- WILKES-BARRE,81.17,0,0,2,80.0,84.58,0 [0 - 2],81.17% [80.0% - 84.58%],7,0,30,05-18-2020
363,PA- YORK,85.94,21,20,26,82.65,93.0,21 [20 - 26],85.94% [82.65% - 93.0%],49,22,108,05-18-2020
364,RI- PROVIDENCE,90.62,147,131,186,83.35,106.79,147 [131 - 186],90.62% [83.35% - 106.79%],332,105,839,05-18-2020
365,SC- CHARLESTON,84.77,70,64,98,81.98,97.0,70 [64 - 98],84.77% [81.98% - 97.0%],141,59,506,05-18-2020
366,SC- COLUMBIA,86.39,109,98,153,82.19,102.39,109 [98 - 153],86.39% [82.19% - 102.39%],239,82,839,05-18-2020
367,SC- FLORENCE,83.03,14,13,24,80.89,92.45,14 [13 - 24],83.03% [80.89% - 92.45%],40,12,167,05-18-2020
368,SC- GREENVILLE,85.14,56,52,78,82.22,96.93,56 [52 - 78],85.14% [82.22% - 96.93%],123,53,405,05-18-2020
369,SC- SPARTANBURG,84.84,21,19,29,81.7,94.61,21 [19 - 29],84.84% [81.7% - 94.61%],51,18,155,05-18-2020
370,SD- RAPID CITY,81.82,7,6,7,80.0,83.63,7 [6 - 7],81.82% [80.0% - 83.63%],12,0,25,05-18-2020
371,SD- SIOUX FALLS,83.06,42,38,74,80.9,97.66,42 [38 - 74],83.06% [80.9% - 97.66%],84,25,490,05-18-2020
373,TN- CHATTANOOGA,83.19,35,32,43,80.67,88.12,35 [32 - 43],83.19% [80.67% - 88.12%],71,15,182,05-18-2020
374,TN- JACKSON,80.54,0,0,4,80.0,84.37,0 [0 - 4],80.54% [80.0% - 84.37%],7,0,59,05-18-2020
