region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
445,WV- MORGANTOWN,94.63,171,155,223,86.24,123.17,171 [155 - 223],94.63% [86.24% - 123.17%],258,110,761,10-06-2020
446,WI- APPLETON,110.31,90,80,132,91.02,176.11,90 [80 - 132],110.31% [91.02% - 176.11%],187,68,593,10-06-2020
447,WI- GREEN BAY,99.43,168,150,233,87.06,135.72,168 [150 - 233],99.43% [87.06% - 135.72%],311,113,892,10-06-2020
448,WI- LA CROSSE,90.68,68,62,86,84.19,107.33,68 [62 - 86],90.68% [84.19% - 107.33%],102,40,261,10-06-2020
449,WI- MADISON,89.8,189,173,233,84.62,103.26,189 [173 - 233],89.8% [84.62% - 103.26%],295,139,700,10-06-2020
450,WI- MARSHFIELD,95.96,123,113,153,87.72,120.41,123 [113 - 153],95.96% [87.72% - 120.41%],188,91,476,10-06-2020
451,WI- MILWAUKEE,89.08,488,450,600,84.25,101.81,488 [450 - 600],89.08% [84.25% - 101.81%],749,351,1799,10-06-2020
452,WI- NEENAH,104.91,78,70,107,90.04,153.48,78 [70 - 107],104.91% [90.04% - 153.48%],139,56,410,10-06-2020
456,WI- WAUSAU,111.15,104,95,136,94.51,161.24,104 [95 - 136],111.15% [94.51% - 161.24%],176,82,459,10-06-2020
457,WY- CASPER,100.11,93,85,112,88.84,125.51,93 [85 - 112],100.11% [88.84% - 125.51%],141,62,319,10-06-2020
303,NY- NEW YORK,80.06,7,6,16,80.01,80.59,7 [6 - 16],80.06% [80.01% - 80.59%],9,2,91,10-06-2020
