HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
103,CO- DENVER,82.91,135,130,139,82.18,83.35,135 [130 - 139],82.91% [82.18% - 83.35%],139,104,160,09-08-2020
104,CO- FORT COLLINS,83.15,14,14,16,83.13,84.69,14 [14 - 16],83.15% [83.13% - 84.69%],20,20,30,09-08-2020
105,CO- GRAND JUNCTION,81.07,7,7,7,81.01,81.01,7 [7 - 7],81.07% [81.01% - 81.01%],8,8,8,09-08-2020
106,CO- GREELEY,83.25,20,19,22,82.57,83.73,20 [19 - 22],83.25% [82.57% - 83.73%],25,20,29,09-08-2020
107,CO- PUEBLO,81.06,7,7,7,81.0,81.0,7 [7 - 7],81.06% [81.0% - 81.0%],8,8,8,09-08-2020
109,CT- BRIDGEPORT,83.42,53,52,55,82.77,83.89,53 [52 - 55],83.42% [82.77% - 83.89%],58,47,66,09-08-2020
110,CT- HARTFORD,84.47,139,134,152,83.72,86.54,139 [134 - 152],84.47% [83.72% - 86.54%],145,121,213,09-08-2020
111,CT- NEW HAVEN,83.21,120,114,129,82.15,84.49,120 [114 - 129],83.21% [82.15% - 84.49%],123,83,173,09-08-2020
112,DE- WILMINGTON,83.83,65,64,69,83.01,84.83,65 [64 - 69],83.83% [83.01% - 84.83%],71,56,90,09-08-2020
113,DC- WASHINGTON,83.53,191,187,195,83.1,84.03,191 [187 - 195],83.53% [83.1% - 84.03%],193,170,221,09-08-2020
115,FL- BRADENTON,81.11,7,7,7,80.99,81.27,7 [7 - 7],81.11% [80.99% - 81.27%],7,7,9,09-08-2020
116,FL- CLEARWATER,80.73,7,7,7,80.67,80.79,7 [7 - 7],80.73% [80.67% - 80.79%],11,11,13,09-08-2020
118,FL- FORT LAUDERDALE,81.85,158,155,161,81.53,82.05,158 [155 - 161],81.85% [81.53% - 82.05%],160,133,178,09-08-2020
119,FL- FORT MYERS,81.57,56,56,57,81.39,81.78,56 [56 - 57],81.57% [81.39% - 81.78%],60,53,68,09-08-2020
120,FL- GAINESVILLE,82.42,42,42,43,82.23,82.77,42 [42 - 43],82.42% [82.23% - 82.77%],44,41,51,09-08-2020
122,FL- HUDSON,81.6,14,14,15,81.52,81.92,14 [14 - 15],81.6% [81.52% - 81.92%],19,19,24,09-08-2020
123,FL- JACKSONVILLE,82.82,133,132,140,82.46,83.62,133 [132 - 140],82.82% [82.46% - 83.62%],138,121,178,09-08-2020
124,FL- LAKELAND,82.69,28,28,28,82.43,83.09,28 [28 - 28],82.69% [82.43% - 83.09%],28,26,33,09-08-2020
127,FL- MIAMI,82.09,221,208,226,81.27,82.38,221 [208 - 226],82.09% [81.27% - 82.38%],225,137,257,09-08-2020
129,FL- OCALA,82.57,35,35,35,82.34,82.78,35 [35 - 35],82.57% [82.34% - 82.78%],35,32,38,09-08-2020
130,FL- ORLANDO,81.93,196,192,203,81.69,82.27,196 [192 - 203],81.93% [81.69% - 82.27%],200,175,235,09-08-2020
131,FL- ORMOND BEACH,81.12,14,14,14,81.09,81.21,14 [14 - 14],81.12% [81.09% - 81.21%],18,18,20,09-08-2020
133,FL- PANAMA CITY,80.62,0,0,1,80.6,80.75,0 [0 - 1],80.62% [80.6% - 80.75%],4,4,5,09-08-2020
134,FL- PENSACOLA,82.43,52,52,55,82.34,83.07,52 [52 - 55],82.43% [82.34% - 83.07%],56,55,72,09-08-2020
137,FL- SARASOTA,80.91,7,7,7,80.62,80.9,7 [7 - 7],80.91% [80.62% - 80.9%],13,9,13,09-08-2020
139,FL- ST PETERSBURG,80.61,7,7,7,80.56,80.63,7 [7 - 7],80.61% [80.56% - 80.63%],9,9,10,09-08-2020
140,FL- TALLAHASSEE,84.4,115,111,124,83.34,86.27,115 [111 - 124],84.4% [83.34% - 86.27%],118,90,169,09-08-2020
141,FL- TAMPA,81.85,77,76,79,81.6,82.09,77 [76 - 79],81.85% [81.6% - 82.09%],78,68,89,09-08-2020
142,GA- ALBANY,80.63,0,0,0,80.47,80.56,0 [0 - 0],80.63% [80.47% - 80.56%],6,5,6,09-08-2020
144,GA- ATLANTA,86.47,770,751,798,85.42,87.73,770 [751 - 798],86.47% [85.42% - 87.73%],775,649,926,09-08-2020
145,GA- AUGUSTA,82.69,61,60,63,82.12,82.89,61 [60 - 63],82.69% [82.12% - 82.89%],65,52,71,09-08-2020
146,GA- COLUMBUS,84.44,53,52,60,83.49,87.7,53 [52 - 60],84.44% [83.49% - 87.7%],55,44,97,09-08-2020
147,GA- MACON,82.71,56,52,60,81.43,83.67,56 [52 - 60],82.71% [81.43% - 83.67%],60,32,82,09-08-2020
148,GA- ROME,88.52,56,56,57,87.24,89.43,56 [56 - 57],88.52% [87.24% - 89.43%],62,53,69,09-08-2020
149,GA- SAVANNAH,90.68,214,204,232,87.53,94.77,214 [204 - 232],90.68% [87.53% - 94.77%],219,155,304,09-08-2020
151,ID- BOISE,82.48,46,45,47,81.88,82.6,46 [45 - 47],82.48% [81.88% - 82.6%],51,39,54,09-08-2020
