HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
164,IL- JOLIET,86.11,78,71,98,82.11,95.69,78 [71 - 98],86.11% [82.11% - 95.69%],81,28,208,05-26-2020
166,IL- MELROSE PARK,85.45,164,149,203,82.04,93.45,164 [149 - 203],85.45% [82.04% - 93.45%],168,63,416,05-26-2020
170,IL- PEORIA,80.91,14,13,21,80.16,83.39,14 [13 - 21],80.91% [80.16% - 83.39%],16,3,63,05-26-2020
171,IL- ROCKFORD,83.69,53,47,67,81.11,89.54,53 [47 - 67],83.69% [81.11% - 89.54%],56,17,146,05-26-2020
172,IL- SPRINGFIELD,80.47,11,10,18,80.16,82.0,11 [10 - 18],80.47% [80.16% - 82.0%],12,4,51,05-26-2020
173,IL- URBANA,80.46,0,0,4,80.0,82.79,0 [0 - 4],80.46% [80.0% - 82.79%],4,0,29,05-26-2020
175,IL- BLOOMINGTON,83.43,6,6,9,81.5,88.99,6 [6 - 9],83.43% [81.5% - 88.99%],9,4,24,05-26-2020
179,IN- EVANSVILLE,80.76,14,12,21,80.0,83.13,14 [12 - 21],80.76% [80.0% - 83.13%],15,0,64,05-26-2020
180,IN- FORT WAYNE,82.12,44,39,70,80.68,87.23,44 [39 - 70],82.12% [80.68% - 87.23%],46,15,160,05-26-2020
181,IN- GARY,91.04,163,147,188,83.92,101.05,163 [147 - 188],91.04% [83.92% - 101.05%],166,59,317,05-26-2020
183,IN- INDIANAPOLIS,89.7,618,543,741,82.04,101.21,618 [543 - 741],89.7% [82.04% - 101.21%],622,131,1361,05-26-2020
184,IN- LAFAYETTE,85.11,35,30,41,80.81,88.77,35 [30 - 41],85.11% [80.81% - 88.77%],37,6,65,05-26-2020
185,IN- MUNCIE,84.17,14,12,19,80.0,90.02,14 [12 - 19],84.17% [80.0% - 90.02%],17,0,42,05-26-2020
186,IN- MUNSTER,88.02,91,83,105,83.29,95.94,91 [83 - 105],88.02% [83.29% - 95.94%],92,38,184,05-26-2020
187,IN- SOUTH BEND,85.7,83,75,99,81.83,91.84,83 [75 - 99],85.7% [81.83% - 91.84%],87,28,181,05-26-2020
188,IN- TERRE HAUTE,82.86,14,12,16,80.0,84.08,14 [12 - 16],82.86% [80.0% - 84.08%],15,0,22,05-26-2020
190,IA- CEDAR RAPIDS,83.04,29,26,38,80.81,87.97,29 [26 - 38],83.04% [80.81% - 87.97%],33,9,89,05-26-2020
191,IA- DAVENPORT,80.5,9,8,13,80.18,81.84,9 [8 - 13],80.5% [80.18% - 81.84%],11,4,41,05-26-2020
192,IA- DES MOINES,81.28,41,37,58,80.27,84.04,41 [37 - 58],81.28% [80.27% - 84.04%],42,9,133,05-26-2020
193,IA- DUBUQUE,81.89,4,4,7,81.1,84.77,4 [4 - 7],81.89% [81.1% - 84.77%],10,6,26,05-26-2020
194,IA- IOWA CITY,81.69,29,26,39,80.46,84.84,29 [26 - 39],81.69% [80.46% - 84.84%],32,9,94,05-26-2020
195,IA- MASON CITY,80.0,0,0,0,80.0,80.55,0 [0 - 0],80.0% [80.0% - 80.55%],0,0,4,05-26-2020
196,IA- SIOUX CITY,80.41,0,0,4,80.35,82.3,0 [0 - 4],80.41% [80.35% - 82.3%],4,4,26,05-26-2020
197,IA- WATERLOO,80.84,1,1,5,80.0,84.38,1 [1 - 5],80.84% [80.0% - 84.38%],5,0,28,05-26-2020
200,KS- TOPEKA,80.0,0,0,2,80.0,81.23,0 [0 - 2],80.0% [80.0% - 81.23%],0,0,19,05-26-2020
201,KS- WICHITA,80.37,14,12,17,80.0,80.73,14 [12 - 17],80.37% [80.0% - 80.73%],18,0,36,05-26-2020
203,KY- COVINGTON,84.96,49,43,62,80.54,89.9,49 [43 - 62],84.96% [80.54% - 89.9%],54,6,109,05-26-2020
204,KY- LEXINGTON,82.27,115,97,186,80.35,90.62,115 [97 - 186],82.27% [80.35% - 90.62%],118,18,553,05-26-2020
205,KY- LOUISVILLE,83.81,181,162,249,81.08,92.62,181 [162 - 249],83.81% [81.08% - 92.62%],183,52,608,05-26-2020
207,KY- OWENSBORO,82.23,8,6,13,80.0,86.57,8 [6 - 13],82.23% [80.0% - 86.57%],10,0,31,05-26-2020
208,KY- PADUCAH,80.0,0,0,8,80.0,82.03,0 [0 - 8],80.0% [80.0% - 82.03%],0,0,33,05-26-2020
209,LA- ALEXANDRIA,80.47,0,0,3,80.0,82.22,0 [0 - 3],80.47% [80.0% - 82.22%],4,0,22,05-26-2020
210,LA- BATON ROUGE,82.73,63,58,95,81.13,91.05,63 [58 - 95],82.73% [81.13% - 91.05%],67,28,274,05-26-2020
212,LA- HOUMA,83.36,21,20,30,81.28,91.27,21 [20 - 30],83.36% [81.28% - 91.27%],23,9,79,05-26-2020
213,LA- LAFAYETTE,80.94,14,13,24,80.19,83.7,14 [13 - 24],80.94% [80.19% - 83.7%],20,4,80,05-26-2020
214,LA- LAKE CHARLES,80.54,0,0,4,80.0,82.43,0 [0 - 4],80.54% [80.0% - 82.43%],4,0,21,05-26-2020
216,LA- METAIRIE,87.4,71,66,92,83.56,101.17,71 [66 - 92],87.4% [83.56% - 101.17%],74,36,214,05-26-2020
217,LA- MONROE,80.51,0,0,1,80.0,80.97,0 [0 - 1],80.51% [80.0% - 80.97%],4,0,9,05-26-2020
218,LA- NEW ORLEANS,84.81,113,104,142,82.1,93.03,113 [104 - 142],84.81% [82.1% - 93.03%],116,51,316,05-26-2020
219,LA- SHREVEPORT,80.62,14,13,23,80.15,82.74,14 [13 - 23],80.62% [80.15% - 82.74%],16,4,75,05-26-2020
