HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
442,WA- YAKIMA,82.77,14,13,19,80.69,89.33,14 [13 - 19],82.77% [80.69% - 89.33%],16,4,54,06-30-2020
443,WV- CHARLESTON,85.11,121,109,134,81.44,88.49,121 [109 - 134],85.11% [81.44% - 88.49%],123,35,206,06-30-2020
444,WV- HUNTINGTON,84.32,66,60,73,81.58,86.79,66 [60 - 73],84.32% [81.58% - 86.79%],71,26,112,06-30-2020
445,WV- MORGANTOWN,83.57,61,56,66,81.42,85.1,61 [56 - 66],83.57% [81.42% - 85.1%],62,25,90,06-30-2020
446,WI- APPLETON,89.32,54,48,65,81.94,101.07,54 [48 - 65],89.32% [81.94% - 101.07%],57,12,130,06-30-2020
447,WI- GREEN BAY,85.16,79,71,97,81.31,92.05,79 [71 - 97],85.16% [81.31% - 92.05%],82,21,193,06-30-2020
448,WI- LA CROSSE,87.69,70,64,75,82.83,90.99,70 [64 - 75],87.69% [82.83% - 90.99%],73,27,105,06-30-2020
449,WI- MADISON,87.44,221,201,241,82.86,91.33,221 [201 - 241],87.44% [82.86% - 91.33%],223,86,341,06-30-2020
450,WI- MARSHFIELD,86.02,67,60,80,81.7,92.82,67 [60 - 80],86.02% [81.7% - 92.82%],70,20,151,06-30-2020
451,WI- MILWAUKEE,85.93,483,446,522,82.74,88.9,483 [446 - 522],85.93% [82.74% - 88.9%],488,226,734,06-30-2020
452,WI- NEENAH,87.75,39,35,46,81.97,95.77,39 [35 - 46],87.75% [81.97% - 95.77%],43,11,88,06-30-2020
456,WI- WAUSAU,85.7,28,26,36,81.42,94.69,28 [26 - 36],85.7% [81.42% - 94.69%],32,8,83,06-30-2020
457,WY- CASPER,85.78,35,32,39,81.28,88.99,35 [32 - 39],85.78% [81.28% - 88.99%],40,9,63,06-30-2020
303,NY- NEW YORK,99.4,3143,2853,3817,86.84,129.92,3143 [2853 - 3817],99.4% [86.84% - 129.92%],3015,1064,7760,06-30-2020
