HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
442,WA- YAKIMA,93.55,72,64,91,83.45,115.06,72 [64 - 91],93.55% [83.45% - 115.06%],05-18-2020
443,WV- CHARLESTON,80.22,0,0,4,80.0,81.11,0 [0 - 4],80.22% [80.0% - 81.11%],05-18-2020
444,WV- HUNTINGTON,80.0,0,0,9,80.0,83.94,0 [0 - 9],80.0% [80.0% - 83.94%],05-18-2020
445,WV- MORGANTOWN,80.53,7,6,13,80.0,82.5,7 [6 - 13],80.53% [80.0% - 82.5%],05-18-2020
446,WI- APPLETON,91.54,68,60,88,82.76,112.9,68 [60 - 88],91.54% [82.76% - 112.9%],05-18-2020
447,WI- GREEN BAY,85.61,86,76,114,81.25,97.43,86 [76 - 114],85.61% [81.25% - 97.43%],05-18-2020
448,WI- LA CROSSE,90.58,98,88,118,82.93,104.61,98 [88 - 118],90.58% [82.93% - 104.61%],05-18-2020
449,WI- MADISON,91.63,347,313,397,83.89,102.27,347 [313 - 397],91.63% [83.89% - 102.27%],05-18-2020
450,WI- MARSHFIELD,85.28,59,52,80,80.85,96.21,59 [52 - 80],85.28% [80.85% - 96.21%],05-18-2020
451,WI- MILWAUKEE,92.01,987,897,1104,84.48,100.98,987 [897 - 1104],92.01% [84.48% - 100.98%],05-18-2020
452,WI- NEENAH,90.88,59,53,72,83.05,106.7,59 [53 - 72],90.88% [83.05% - 106.7%],05-18-2020
456,WI- WAUSAU,84.03,18,16,29,80.53,95.58,18 [16 - 29],84.03% [80.53% - 95.58%],05-18-2020
457,WY- CASPER,81.33,7,6,11,80.29,84.99,7 [6 - 11],81.33% [80.29% - 84.99%],05-18-2020
303,NY- NEW YORK,84.92,762,686,933,81.54,92.4,762 [686 - 933],84.92% [81.54% - 92.4%],05-18-2020
