HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
256,MN- ST PAUL,96,2632,2455,2759,92.16,99.84,04-21-2020
257,MS- GULFPORT,134,2885,2726,3105,128.64,139.36,04-21-2020
258,MS- HATTIESBURG,114,2899,2543,3037,109.44,118.56,04-21-2020
259,MS- JACKSON,100,6475,6033,6838,96.0,104.0,04-21-2020
261,MS- OXFORD,80,0,0,26,76.8,83.2,04-21-2020
262,MS- TUPELO,82,195,170,380,78.72,85.28,04-21-2020
263,MO- CAPE GIRARDEAU,80,0,0,0,76.8,83.2,04-21-2020
264,MO- COLUMBIA,93,1680,1654,1680,89.28,96.72,04-21-2020
267,MO- JOPLIN,80,0,0,0,76.8,83.2,04-21-2020
268,MO- KANSAS CITY,107,14711,13956,16044,102.72,111.28,04-21-2020
270,MO- SPRINGFIELD,92,1680,1680,1877,88.32,95.68,04-21-2020
273,MO- ST LOUIS,97,14398,13893,15318,93.12,100.88,04-21-2020
274,MT- BILLINGS,92,1982,1863,2082,88.32,95.68,04-21-2020
275,MT- GREAT FALLS,80,7,6,42,76.8,83.2,04-21-2020
276,MT- MISSOULA,87,604,564,677,83.52,90.48,04-21-2020
277,NE- LINCOLN,84,535,506,569,80.64,87.36,04-21-2020
278,NE- OMAHA,101,8083,7585,8447,96.96,105.04,04-21-2020
279,NV- LAS VEGAS,125,12851,12243,13692,120.0,130.0,04-21-2020
280,NV- RENO,98,2464,2336,2741,94.08,101.92,04-21-2020
281,NH- LEBANON,108,1844,1718,1937,103.68,112.32,04-21-2020
282,NH- MANCHESTER,108,3873,3660,4076,103.68,112.32,04-21-2020
283,NJ- CAMDEN,189,60351,57521,64068,181.44,196.56,04-21-2020
284,NJ- HACKENSACK,397,79443,76001,83793,381.12,412.88,04-21-2020
285,NJ- MORRISTOWN,421,45321,43200,48024,404.16,437.84,04-21-2020
288,NJ- NEW BRUNSWICK,304,42868,40880,45425,291.84,316.16,04-21-2020
289,NJ- NEWARK,321,80260,76655,84844,308.16,333.84,04-21-2020
291,NJ- PATERSON,328,20020,19112,21179,314.88,341.12,04-21-2020
293,NM- ALBUQUERQUE,109,6893,6632,7621,104.64,113.36,04-21-2020
295,NY- ALBANY,225,49133,47033,52125,216.0,234.0,04-21-2020
296,NY- BINGHAMTON,111,2001,1908,2189,106.56,115.44,04-21-2020
297,NY- BRONX,452,89937,86125,94727,433.92,470.08,04-21-2020
299,NY- BUFFALO,104,5997,5762,6597,99.84,108.16,04-21-2020
300,NY- ELMIRA,97,1305,1209,1467,93.12,100.88,04-21-2020
301,NY- EAST LONG ISLAND,475,289462,277091,305046,456.0,494.0,04-21-2020
304,NY- ROCHESTER,123,8821,8352,9296,118.08,127.92,04-21-2020
307,NY- SYRACUSE,98,3562,3328,4118,94.08,101.92,04-21-2020
308,NY- WHITE PLAINS,478,76737,73640,80597,458.88,497.12,04-21-2020
309,NC- ASHEVILLE,80,0,0,92,76.8,83.2,04-21-2020
311,NC- CHARLOTTE,105,10242,9821,10927,100.8,109.2,04-21-2020
312,NC- DURHAM,91,3488,3337,3995,87.36,94.64,04-21-2020
313,NC- GREENSBORO,92,1558,1427,1726,88.32,95.68,04-21-2020
314,NC- GREENVILLE,80,48,40,215,76.8,83.2,04-21-2020
315,NC- HICKORY,80,0,0,103,76.8,83.2,04-21-2020
318,NC- RALEIGH,112,9527,9147,10344,107.52,116.48,04-21-2020
319,NC- WILMINGTON,91,931,814,1039,87.36,94.64,04-21-2020
320,NC- WINSTON-SALEM,90,2672,2458,2817,86.4,93.6,04-21-2020
321,ND- BISMARCK,113,1953,1768,1986,108.48,117.52,04-21-2020
322,ND- FARGO MOORHEAD -MN,80,0,0,46,76.8,83.2,04-21-2020
323,ND- GRAND FORKS,80,0,0,0,76.8,83.2,04-21-2020
324,ND- MINOT,83,116,110,209,79.68,86.32,04-21-2020
325,OH- AKRON,107,4610,4407,4885,102.72,111.28,04-21-2020
326,OH- CANTON,96,2336,2140,2586,92.16,99.84,04-21-2020
327,OH- CINCINNATI,95,5245,4886,5476,91.2,98.8,04-21-2020
328,OH- CLEVELAND,106,16076,15237,17133,101.76,110.24,04-21-2020
329,OH- COLUMBUS,86,4321,3978,4730,82.56,89.44,04-21-2020
330,OH- DAYTON,83,783,758,1003,79.68,86.32,04-21-2020
331,OH- ELYRIA,124,2261,2151,2352,119.04,128.96,04-21-2020
332,OH- KETTERING,91,905,866,1014,87.36,94.64,04-21-2020
334,OH- TOLEDO,94,4186,3890,4436,90.24,97.76,04-21-2020
335,OH- YOUNGSTOWN,91,2056,2030,2352,87.36,94.64,04-21-2020
336,OK- LAWTON,80,0,0,0,76.8,83.2,04-21-2020
339,OK- OKLAHOMA CITY,99,9018,8489,9706,95.04,102.96,04-21-2020
340,OK- TULSA,86,2116,2030,2297,82.56,89.44,04-21-2020
341,OR- BEND,97,481,448,505,93.12,100.88,04-21-2020
342,OR- EUGENE,98,1478,1379,1563,94.08,101.92,04-21-2020
343,OR- MEDFORD,84,283,279,339,80.64,87.36,04-21-2020
344,OR- PORTLAND,94,5427,5162,5752,90.24,97.76,04-21-2020
345,OR- SALEM,113,1007,961,1047,108.48,117.52,04-21-2020
346,PA- ALLENTOWN,216,29846,28127,31504,207.36,224.64,04-21-2020
347,PA- ALTOONA,80,0,0,2,76.8,83.2,04-21-2020
350,PA- DANVILLE,81,112,105,171,77.76,84.24,04-21-2020
351,PA- ERIE,80,12,11,272,76.8,83.2,04-21-2020
352,PA- HARRISBURG,124,7009,6477,7413,119.04,128.96,04-21-2020
354,PA- JOHNSTOWN,80,7,7,9,76.8,83.2,04-21-2020
355,PA- LANCASTER,144,5205,4984,5588,138.24,149.76,04-21-2020
356,PA- PHILADELPHIA,172,79494,75733,84550,165.12,178.88,04-21-2020
357,PA- PITTSBURGH,96,13439,12482,14116,92.16,99.84,04-21-2020
358,PA- READING,149,6854,6422,7280,143.04,154.96,04-21-2020
359,PA- SAYRE,86,196,166,229,82.56,89.44,04-21-2020
360,PA- SCRANTON,168,5438,5160,5647,161.28,174.72,04-21-2020
362,PA- WILKES-BARRE,133,2443,2267,2587,127.68,138.32,04-21-2020
363,PA- YORK,141,3535,3325,3790,135.36,146.64,04-21-2020
365,SC- CHARLESTON,98,3723,3435,3822,94.08,101.92,04-21-2020
366,SC- COLUMBIA,111,7966,7597,8455,106.56,115.44,04-21-2020
367,SC- FLORENCE,88,807,704,854,84.48,91.52,04-21-2020
368,SC- GREENVILLE,93,2235,2185,2469,89.28,96.72,04-21-2020
369,SC- SPARTANBURG,88,623,623,680,84.48,91.52,04-21-2020
371,SD- SIOUX FALLS,113,6476,6028,7278,108.48,117.52,04-21-2020
373,TN- CHATTANOOGA,84,672,672,727,80.64,87.36,04-21-2020
374,TN- JACKSON,80,0,0,0,76.8,83.2,04-21-2020
375,TN- JOHNSON CITY,80,0,0,0,76.8,83.2,04-21-2020
376,TN- KINGSPORT,80,0,0,0,76.8,83.2,04-21-2020
377,TN- KNOXVILLE,82,672,672,720,78.72,85.28,04-21-2020
