hrr,HRRCITY,DHS_Beds,Total_Pop,Over65_Pop
428,VA- LYNCHBURG,752,258483,42535
429,VA- NEWPORT NEWS,1139,562751,80707
430,VA- NORFOLK,2707,1291505,165197
431,VA- RICHMOND,4700,1858107,250280
432,VA- ROANOKE,2794,714634,118126
435,VA- WINCHESTER,933,438648,67697
437,WA- EVERETT,821,700100,98916
438,WA- OLYMPIA,675,410189,71391
439,WA- SEATTLE,5443,3255938,434236
440,WA- SPOKANE,3759,1648332,251549
441,WA- TACOMA,1227,858055,112214
442,WA- YAKIMA,579,313633,41271
443,WV- CHARLESTON,2425,804008,149989
444,WV- HUNTINGTON,1650,347333,63296
445,WV- MORGANTOWN,1763,407342,65282
446,WI- APPLETON,617,338663,50547
447,WI- GREEN BAY,1601,518780,82707
448,WI- LA CROSSE,955,353869,54457
449,WI- MADISON,3009,1160631,163280
450,WI- MARSHFIELD,1178,365458,61578
451,WI- MILWAUKEE,8250,2750176,389234
452,WI- NEENAH,558,234692,36351
456,WI- WAUSAU,565,189231,32525
457,WY- CASPER,701,189551,26562
303,NY- NEW YORK,15546,5728566,776382
